Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Conv1,  224,  224,  7,  7, 3, 64,  2,
Conv2red,  56,  56,  1,  1, 64, 64,  1,
Conv2,  56,  56,  3,  3, 64, 192,  1,
Inc3a_1x1,  28,  28,  1,  1, 192, 64,  1,
Inc3a_3x3red,  28,  28,  1,  1, 192, 96,  1,
Inc3a_3x3,  28,  28,  3,  3, 96, 128,  1,
Inc3a_5x5red,  28,  28,  1,  1, 192, 16,  1,
Inc3a_5x5,  28,  28,  5,  5, 16, 32,  1,
Inc3a_pp,  28,  28,  1,  1, 192, 32,  1,
Inc3b_1x1,  28,  28,  1,  1, 256, 128,  1,
Inc3b_3x3red,  28,  28,  1,  1, 256, 128,  1,
Inc3b_3x3,  28,  28,  3,  3, 128, 192,  1,
Inc3b_5x5red,  28,  28,  1,  1, 256, 32,  1,
Inc3b_5x5,  28,  28,  5,  5, 32, 96,  1,
Inc3b_pp,  28,  28,  1,  1, 256, 64,  1,
Inc4a_1x1,  14,  14,  1,  1, 240, 192,  1,
Inc4a_3x3red,  14,  14,  1,  1, 240, 96,  1,
Inc4a_3x3,  14,  14,  3,  3, 24, 208,  1,
Inc4a_5x5red,  14,  14,  1,  1, 240, 16,  1,
Inc4a_5x5,  14,  14,  5,  5, 4, 48,  1,
Inc4a_pp,  14,  14,  1,  1, 240, 64,  1,
Inc4b_1x1,  14,  14,  1,  1, 256, 160,  1,
Inc4b_3x3red,  14,  14,  1,  1, 256, 112,  1,
Inc4b_3x3,  14,  14,  3,  3, 28, 224,  1,
Inc4b_5x5red,  14,  14,  1,  1, 256, 24,  1,
Inc4b_5x5,  14,  14,  5,  5, 5, 64,  1,
Inc4b_pp,  14,  14,  1,  1, 256, 64,  1,
Inc4c_1x1,  14,  14,  1,  1, 256, 128,  1,
Inc4c_3x3red,  14,  14,  1,  1, 256, 128,  1,
Inc4c_3x3,  14,  14,  3,  3, 32, 256,  1,
Inc4c_5x5red,  14,  14,  1,  1, 256, 24,  1,
Inc4c_5x5,  14,  14,  1,  1, 12, 64,  1,
Inc4c_pp,  14,  14,  1,  1, 256, 64,  1,
Inc4d_1x1,  14,  14,  1,  1, 256, 112,  1,
Inc4d_3x3red,  14,  14,  1,  1, 256, 144,  1,
Inc4d_3x3,  14,  14,  3,  3, 36, 288,  1,
Inc4d_5x5red,  14,  14,  1,  1, 256, 32,  1,
Inc4d_5x5,  14,  14,  5,  5, 7, 64,  1,
Inc4d_pp,  14,  14,  1,  1, 256, 64,  1,
Inc4e_1x1,  14,  14,  1,  1, 264, 256,  1,
Inc4e_3x3red,  14,  14,  1,  1, 264, 160,  1,
Inc4e_3x3,  14,  14,  3,  3, 40, 320,  1,
Inc4e_5x5red,  14,  14,  1,  1, 264, 32,  1,
Inc4e_5x5,  14,  14,  5,  5, 7, 128,  1,
Inc4e_pp,  14,  14,  1,  1, 264, 128,  1,
Inc5a_1x1,  7,  7,  1,  1, 76, 256,  1,
Inc5a_3x3red,  7,  7,  1,  1, 49, 160,  1,
Inc5a_3x3,  7,  7,  3,  3, 7, 320,  1,
Inc5a_5x5red,  7,  7,  1,  1, 76, 32,  1,
Inc5a_5x5,  7,  7,  5,  5, 1, 128,  1,
Inc5a_pp,  7,  7,  1,  1, 76, 128,  1,
Inc5b_1x1,  7,  7,  1,  1, 76, 384,  1,
Inc5b_3x3red,  7,  7,  1,  1, 76, 192,  1,
Inc5b_3x3,  7,  7,  3,  3, 9, 384,  1,
Inc5b_5x5red,  7,  7,  1,  1, 76, 48,  1,
Inc5b_5x5,  7,  7,  5,  5, 1, 128,  1,
Inc5b_pp,  7,  7,  1,  1, 76, 128,  1,
FC6,  1,  1,  1,  1, 2, 1000,  1,
